E	S	MS	BG	ST
 856.45	 127123.828125	 126198.65625	 0	 925.172302246094
 856.35	 128089.515625	 127166.78125	 0	 922.728698730469
 856.25	 128618.34375	 127683.484375	 0	 934.868835449219
 856.15	 129035.703125	 128038.2265625	 0	 997.475646972656
 856.05	 129090.15625	 128113.84375	 0	 976.310363769531
 855.95	 128715.7578125	 127716.28125	 0	 999.485900878906
 855.85	 129244.109375	 128257.84375	 0	 986.267456054688
 855.75	 129259.8203125	 128270.34375	 0	 989.468017578125
 855.65	 129390.140625	 128365.96875	 0	 1024.17224121094
 855.55	 128550.2890625	 127481.640625	 0	 1068.64709472656
 855.45	 128967.078125	 127903.109375	 0	 1063.96142578125
 855.35	 129605.21875	 128478.65625	 0	 1126.56762695312
 855.25	 129681.3125	 128556.3671875	 0	 1124.94458007812
 855.15	 130399.2578125	 129230.96875	 0	 1168.29455566406
 855.05	 130682.1328125	 129476.421875	 0	 1205.71423339844
 854.95	 131833.296875	 130565.2890625	 0	 1268.00903320312
 854.85	 131928.453125	 130654.09375	 0	 1274.36352539062
 854.75	 133290.21875	 131943.96875	 0	 1346.24255371094
 854.65	 135384.1875	 134066.9375	 0	 1317.25390625
 854.55	 136790.390625	 135443.90625	 0	 1346.48889160156
 854.45	 137373.859375	 135952.40625	 0	 1421.44689941406
 854.35	 137662.71875	 136234.421875	 0	 1428.29577636719
 854.25	 137643.3125	 136171.875	 0	 1471.43395996094
 854.15	 136675.578125	 135153.625	 0	 1521.953125
 854.05	 134859.796875	 133330.734375	 0	 1529.06091308594
 853.95	 132289.28125	 130719.96875	 0	 1569.30932617187
 853.85	 128695.65625	 127104.828125	 0	 1590.82373046875
 853.75	 124573.828125	 122984.5234375	 0	 1589.30285644531
 853.65	 120352.8046875	 118668.3125	 0	 1684.49377441406
 853.55	 115797.25	 114102.578125	 0	 1694.67065429687
 853.45	 112043.5	 110301.296875	 0	 1742.20678710937
 853.35	 107508.3203125	 105705.34375	 0	 1802.97814941406
 853.25	 104141.9140625	 102298.4609375	 0	 1843.45373535156
 853.15	 101158.390625	 99299.515625	 0	 1858.87292480469
 853.05	 98320.578125	 96351.4375	 0	 1969.13818359375
 852.95	 96210.71875	 94196.3203125	 0	 2014.40197753906
 852.85	 95228.1640625	 93201.2890625	 0	 2026.87243652344
 852.75	 93612.5546875	 91514.515625	 0	 2098.04296875
 852.65	 92987.453125	 90819.359375	 0	 2168.09008789062
 852.55	 91946.3125	 89697.484375	 0	 2248.82666015625
 852.45	 90876.96875	 88594.8359375	 0	 2282.13232421875
 852.35	 89992.5703125	 87678.2109375	 0	 2314.35668945313
 852.25	 89280.0625	 86921.8984375	 0	 2358.16333007812
 852.15	 89587.390625	 87180.40625	 0	 2406.9814453125
 852.05	 89362.15625	 86930.53125	 0	 2431.625
 851.95	 88906.046875	 86405.328125	 0	 2500.72607421875
 851.85	 88491.1796875	 85956.6796875	 0	 2534.49829101562
 851.75	 88228.078125	 85660.078125	 0	 2567.99462890625
 851.65	 88268.7578125	 85635.703125	 0	 2633.05029296875
 851.55	 87336.5078125	 84652.78125	 0	 2683.72143554687
 851.45	 87673.8125	 85033.1640625	 0	 2640.650390625
 851.35	 87681.109375	 85026.171875	 0	 2654.9345703125
 851.25	 87147.515625	 84466.8203125	 0	 2680.69653320312
 851.15	 86755.078125	 84072.96875	 0	 2682.107421875
 851.05	 86477.1484375	 83788.4921875	 0	 2688.65551757812
 850.95	 87018.0390625	 84383.4453125	 0	 2634.58959960937
 850.85	 87120.0234375	 84516.3359375	 0	 2603.685546875
 850.75	 86479.9375	 83891.671875	 0	 2588.26879882812
 850.65	 85778.9375	 83218.8984375	 0	 2560.04370117188
 850.55	 86521.15625	 83915.359375	 0	 2605.79760742187
 850.45	 86318.6484375	 83765.8828125	 0	 2552.7587890625
 850.35	 86186.1796875	 83658.6328125	 0	 2527.5498046875
 850.25	 85886.171875	 83361.859375	 0	 2524.30786132812
 850.15	 85821.7890625	 83376.2734375	 0	 2445.51684570312
 850.05	 85857.03125	 83418.921875	 0	 2438.10498046875
 849.95	 85581.75	 83138.015625	 0	 2443.73120117187
 849.85	 85680.8125	 83275.5390625	 0	 2405.26635742188
 849.75	 85756.859375	 83368.2109375	 0	 2388.64794921875
 849.65	 85676.9921875	 83313.171875	 0	 2363.8203125
 849.55	 85354.7578125	 83006.078125	 0	 2348.67749023437
 849.45	 85321.828125	 83029.5859375	 0	 2292.24389648437
 849.35	 85231.7265625	 82975.5390625	 0	 2256.18676757812
 849.25	 84890.765625	 82641.484375	 0	 2249.27856445312
 849.15	 85303.2890625	 83041.5625	 0	 2261.73120117187
 849.05	 85328.2421875	 83087.8515625	 0	 2240.38891601562
 848.95	 85506.1328125	 83287.484375	 0	 2218.654296875
 848.85	 84904.8984375	 82720.2265625	 0	 2184.67895507813
 848.75	 84748.8203125	 82569.4921875	 0	 2179.32836914062
 848.65	 85022.875	 82860.171875	 0	 2162.70361328125
 848.55	 84577.96875	 82381.7265625	 0	 2196.24169921875
 848.45	 84748.609375	 82564.765625	 0	 2183.8388671875
 848.35	 84942.9921875	 82746.46875	 0	 2196.5224609375
 848.25	 84368.7109375	 82123.6484375	 0	 2245.06469726563
 848.15	 84441.3515625	 82186.84375	 0	 2254.50830078125
 848.05	 85011.9140625	 82713.7109375	 0	 2298.19970703125
 847.95	 84874.25	 82557.125	 0	 2317.1220703125
 847.85	 84553.015625	 82166.9609375	 0	 2386.05102539062
 847.75	 84591.03125	 82153.515625	 0	 2437.52075195312
 847.65	 84367.7109375	 81880.5234375	 0	 2487.18896484375
 847.55	 84937.234375	 82384.0390625	 0	 2553.193359375
 847.45	 84793.9765625	 82179.125	 0	 2614.853515625
 847.35	 84579.484375	 81923.4921875	 0	 2655.99633789062
 847.25	 84559.421875	 81828.0703125	 0	 2731.35522460938
 847.15	 84547.453125	 81731.0859375	 0	 2816.37060546875
 847.05	 85043.53125	 82140.640625	 0	 2902.892578125
 846.95	 84789.8515625	 81811.9296875	 0	 2977.92260742187
 846.85	 84692.03125	 81644.3984375	 0	 3047.634765625
 846.75	 84419.5703125	 81270.21875	 0	 3149.3525390625
 846.65	 84780.84375	 81561.1953125	 0	 3219.64672851562
 846.55	 85037.75	 81735.3203125	 0	 3302.42944335937
 846.45	 85252.9453125	 81903.4765625	 0	 3349.47290039062
 846.35	 84932	 81537.3828125	 0	 3394.6201171875
 846.25	 85667.15625	 82233.9375	 0	 3433.2197265625
 846.15	 85351.390625	 81904.8203125	 0	 3446.56591796875
 846.05	 85002.328125	 81486.6640625	 0	 3515.66870117187
 845.95	 85105.796875	 81565.234375	 0	 3540.56469726562
 845.85	 85040.4453125	 81438.46875	 0	 3601.978515625
 845.75	 85484.984375	 81895.546875	 0	 3589.44189453125
 845.65	 84712.6171875	 81051.3125	 0	 3661.30151367187
 845.55	 85124.9921875	 81377	 0	 3747.99340820312
 845.45	 85250.5859375	 81449.8828125	 0	 3800.70629882812
 845.35	 85240.34375	 81355.265625	 0	 3885.0771484375
 845.25	 85629.125	 81676.234375	 0	 3952.888671875
 845.15	 85548.4140625	 81472.859375	 0	 4075.55737304688
 845.05	 85938.765625	 81802.796875	 0	 4135.96875
 844.95	 85419.140625	 81153.25	 0	 4265.89208984375
 844.85	 85549.1953125	 81098.109375	 0	 4451.0859375
 844.75	 85401.4296875	 80799.484375	 0	 4601.9384765625
 844.65	 85958.71875	 81280.4921875	 0	 4678.22705078125
 844.55	 85384.75	 80641.4609375	 0	 4743.28564453125
 844.45	 85997.34375	 81223.5625	 0	 4773.7783203125
 844.35	 86013.3828125	 81279.34375	 0	 4734.03564453125
 844.25	 85556.0546875	 80920.2734375	 0	 4635.779296875
 844.15	 85065.78125	 80594.5625	 0	 4471.22412109375
 844.05	 84985.890625	 80715.3671875	 0	 4270.525390625
 843.95	 84835.234375	 80812.796875	 0	 4022.4306640625
 843.85	 84395.8671875	 80634.0234375	 0	 3761.84350585937
 843.75	 84431.3828125	 80976.28125	 0	 3455.09765625
