E	K_beta
44.3	6.86727E-6
44.4	6.9771E-6
44.5	7.09332E-6
44.6	7.2165E-6
44.7	7.34725E-6
44.8	7.48623E-6
44.9	7.63415E-6
45	7.79176E-6
45.1	7.95988E-6
45.2	8.1394E-6
45.3	8.33124E-6
45.4	8.5364E-6
45.5	8.75594E-6
45.6	8.99101E-6
45.7	9.24279E-6
45.8	9.51257E-6
45.9	9.80169E-6
46	1.01116E-5
46.1	1.04437E-5
46.2	1.07997E-5
46.3	1.11811E-5
46.4	1.15897E-5
46.5	1.20274E-5
46.6	1.24959E-5
46.7	1.29972E-5
46.8	1.35333E-5
46.9	1.41064E-5
47	1.47185E-5
47.1	1.53718E-5
47.2	1.60686E-5
47.3	1.68113E-5
47.4	1.7602E-5
47.5	1.84433E-5
47.6	1.93374E-5
47.7	2.02869E-5
47.8	2.1294E-5
47.9	2.23612E-5
48	2.34909E-5
48.1	2.46855E-5
48.2	2.59471E-5
48.3	2.7278E-5
48.4	2.86805E-5
48.5	3.01565E-5
48.6	3.1708E-5
48.7	3.33368E-5
48.8	3.50446E-5
48.9	3.68329E-5
49	3.8703E-5
49.1	4.0656E-5
49.2	4.26928E-5
49.3	4.48142E-5
49.4	4.70204E-5
49.5	4.93117E-5
49.6	5.16879E-5
49.7	5.41485E-5
49.8	5.66927E-5
49.9	5.93194E-5
50	6.20271E-5
50.1	6.4814E-5
50.2	6.76779E-5
50.3	7.06161E-5
50.4	7.36256E-5
50.5	7.67032E-5
50.6	7.98449E-5
50.7	8.30467E-5
50.8	8.6304E-5
50.9	8.96119E-5
51	9.29649E-5
51.1	9.63574E-5
51.2	9.97834E-5
51.3	1.03236E-4
51.4	1.0671E-4
51.5	1.10196E-4
51.6	1.13689E-4
51.7	1.1718E-4
51.8	1.20662E-4
51.9	1.24126E-4
52	1.27565E-4
52.1	1.3097E-4
52.2	1.34333E-4
52.3	1.37645E-4
52.4	1.40899E-4
52.5	1.44085E-4
52.6	1.47196E-4
52.7	1.50223E-4
52.8	1.53158E-4
52.9	1.55994E-4
53	1.58723E-4
53.1	1.61338E-4
53.2	1.63832E-4
53.3	1.66198E-4
53.4	1.6843E-4
